"category","word","meaning","example","translation","count"
"phrasal verbs","to be under house arrest","to be legally forced to stay inside one's home instead of going to prison","He was under house arrest while awaiting the final verdict.","bị quản thúc tại nhà",0
"phrasal verbs","Knuckle down","to start working or studying seriously with full effort","You'll need to knuckle down if you want to pass the final exams.","bắt tay vào làm việc nghiêm túc",0
"phrasal verbs","To get around to","to finally do something that you have intended to do for a long time","I finally got around to reading that book you lent me.","cuối cùng cũng làm được điều gì đó",0
"phrasal verbs","To cook the books","to dishonestly change financial records to make them appear better than they are","The accountant was fired for cooking the books to hide the losses.","gian lận sổ sách kế toán",0
"phrasal verbs","Burn the midnight oil","to work or study late into the night","She burned the midnight oil to finish the project on time.","thức khuya làm việc hoặc học bài",0
"phrasal verbs","Count on somebody  [transitive]","to rely on someone to do what they say or expect","You can count on Tom to get the job done well.","dựa vào ai đó",0
"phrasal verbs","Take after somebody  [transitive]","to resemble a family member in appearance or behavior","She really takes after her mother in both looks and attitude.","giống ai đó trong gia đình",0
"phrasal verbs","sneak out [intransitive]","to leave a place quietly and secretly to avoid being noticed","He tried to sneak out of the meeting without anyone seeing him.","lẻn ra ngoài",0
"phrasal verbs","barge in [intransitive]","to enter a place or conversation rudely and unexpectedly","He barged in without knocking and interrupted our discussion.","xông vào, chen ngang",0
"phrasal verbs","calm down [intransitive] / calm down somebody  [transitive]","to become or make someone become more relaxed and less upset","It took a few minutes to calm her down after the argument.","bình tĩnh lại; làm ai đó bình tĩnh",0
"phrasal verbs","fall out (with somebody ) [transitive]","to stop being friendly with someone after having a disagreement","After their heated discussion, they fell out and stopped talking.","cãi nhau, nghỉ chơi",0
"phrasal verbs","to bring up someone [transitive]","to raise a child or help them grow into an adult","He was brought up by his aunt after his parents passed away.","nuôi dưỡng",0
"phrasal verbs","be fed up [intransitive]","to feel annoyed or tired because of repeated or unpleasant experiences","She's fed up with working late every day without appreciation.","chán ngấy",0
"phrasal verbs","be in bad taste","to be offensive or disrespectful, especially in sensitive situations","His comment about the tragedy was definitely in bad taste.","phản cảm, thiếu tế nhị",0
"phrasal verbs","be in the public eye","to be frequently seen or discussed in the media","Public figures must accept that they are always in the public eye.","bị chú ý bởi công chúng",0
